Student No,Name,Surname,Module,Grade
EDUV10504,Ethan,Davis,Cloud Computing,73.3
EDUV10505,Tshepo,Thomas,Software Engineering,69.0
EDUV10506,Kgosi,Johnson,Python Programming,49.4
EDUV10507,Olivia,Mdlalose,Python Programming,79.5
EDUV10508,Daniel,Jones,Database Systems,41.0
EDUV10509,Lesego,Lebotsa,Computer Networks,69.6
EDUV10510,David,Jones,Software Engineering,59.7
EDUV10511,Tshepo,Ndlovu,Database Systems,65.4
EDUV10512,Liam,Moodley,Python Programming,68.2
EDUV10513,Lusanda,Ndlovu,Computer Networks,76.2
EDUV10514,Khanyisile,Thomas,Python Programming,54.3
EDUV10515,Rivoningo,Moore,Software Engineering,37.0
EDUV10516,James,Jones,Software Engineering,48.1
EDUV10517,Sarah,Ndlovu,Database Systems,84.2
EDUV10518,Lindokuhle,Thomas,Cloud Computing,76.2
EDUV10519,Thando,Davis,Database Systems,57.9
EDUV10520,Rivoningo,Thomas,Software Engineering,62.9
EDUV10521,Olivia,Moodley,Python Programming,81.0
EDUV10522,Mia,Smith,Software Engineering,52.3
EDUV10523,Sarah,Miller,Software Engineering,59.0
EDUV10524,Tshepo,Davis,Software Engineering,67.3
EDUV10525,Khanyisile,Davis,Database Systems,69.1
EDUV10526,David,Miller,Computer Networks,77.5
EDUV10527,Sophia,Wilson,Python Programming,63.1
EDUV10528,Mia,Moodley,Computer Networks,66.4
EDUV10529,Emma,Miller,Computer Networks,70.2
EDUV10530,Tshepo,Anderson,Database Systems,50.9
EDUV10531,Noah,Williams,Cloud Computing,50.6
EDUV10532,Olivia,Mdlalose,Python Programming,92.5
EDUV10533,Lesego,Thomas,Python Programming,82.7
EDUV10534,Liam,Brown,Database Systems,62.8
EDUV10535,Ava,Ndlovu,Software Engineering,55.5
EDUV10536,Rivoningo,Jones,Cloud Computing,75.9
EDUV10537,Rivoningo,Johnson,Software Engineering,57.0
EDUV10538,Mia,Moore,Database Systems,68.8
EDUV10539,Rivoningo,Williams,Python Programming,70.7
EDUV10540,David,Taylor,Computer Networks,67.3
EDUV10541,Lindokuhle,Thomas,Database Systems,71.0
EDUV10542,Liam,Moodley,Python Programming,36.1
EDUV10543,Sarah,Smith,Python Programming,73.6
EDUV10544,Khanyisile,Wilson,Software Engineering,67.8
EDUV10545,Lesego,Moore,Python Programming,79.5
EDUV10546,Rivoningo,Mdlalose,Computer Networks,42.9
EDUV10547,Daniel,Moodley,Software Engineering,54.9
EDUV10548,Lucas,Anderson,Software Engineering,50.9
EDUV10549,Emma,Lebotsa,Software Engineering,60.8
EDUV10550,Thando,Davis,Software Engineering,62.4
EDUV10551,Rivoningo,Anderson,Cloud Computing,82.6
EDUV10552,Michael,Ndlovu,Database Systems,65.1
EDUV10553,Ava,Jones,Computer Networks,70.4
EDUV10554,Rivoningo,Brown,Computer Networks,79.9
EDUV10555,Rivoningo,Taylor,Software Engineering,51.1
EDUV10556,Daniel,Taylor,Computer Networks,57.5
EDUV10557,Daniel,Ndlovu,Software Engineering,65.2
EDUV10558,Michael,Moodley,Python Programming,68.3
EDUV10559,James,Brown,Computer Networks,54.6
EDUV10560,Ava,Brown,Computer Networks,71.4
EDUV10561,Mia,Thomas,Database Systems,75.9
EDUV10562,Lucas,Brown,Cloud Computing,82.8
EDUV10563,Kgosi,Thomas,Computer Networks,43.4
EDUV10564,Michael,Ndlovu,Python Programming,55.3
EDUV10565,Liam,Thomas,Database Systems,71.8
EDUV10566,Ava,Jones,Database Systems,68.9
EDUV10567,Daniel,Taylor,Python Programming,54.3
EDUV10568,Thando,Ndlovu,Computer Networks,54.6
EDUV10569,Noah,Anderson,Python Programming,68.6
EDUV10570,Sophia,Davis,Database Systems,75.1
EDUV10571,Tshepo,Wilson,Cloud Computing,77.1
EDUV10572,Mia,Anderson,Cloud Computing,56.4
EDUV10573,Sophia,Miller,Python Programming,72.0
EDUV10574,Khanyisile,Jones,Computer Networks,67.8
EDUV10575,Lucas,Wilson,Database Systems,53.0
EDUV10576,Sarah,Ndlovu,Python Programming,51.8
EDUV10577,Daniel,Jones,Cloud Computing,67.9
EDUV10578,Lesego,Brown,Database Systems,69.1
EDUV10579,James,Moodley,Cloud Computing,78.8
EDUV10580,David,Mdlalose,Database Systems,51.5
EDUV10581,Daniel,Moodley,Software Engineering,74.4
EDUV10582,Emma,Moore,Computer Networks,59.7
EDUV10583,John,Williams,Computer Networks,55.1
EDUV10584,Daniel,Jones,Cloud Computing,69.4
EDUV10585,Sarah,Johnson,Python Programming,48.8
EDUV10586,John,Mdlalose,Python Programming,61.5
EDUV10587,Ava,Ndlovu,Computer Networks,87.4
EDUV10588,Sarah,Taylor,Computer Networks,57.4
EDUV10589,Kgosi,Thomas,Cloud Computing,72.9
EDUV10590,Liam,Brown,Computer Networks,48.2
EDUV10591,David,Smith,Python Programming,75.9
EDUV10592,Mia,Williams,Cloud Computing,46.8
EDUV10593,James,Davis,Software Engineering,78.2
EDUV10594,Mia,Mdlalose,Python Programming,60.6
EDUV10595,Tshepo,Wilson,Computer Networks,81.4
EDUV10596,James,Mdlalose,Computer Networks,66.5
EDUV10597,Ethan,Smith,Software Engineering,77.0
EDUV10598,Khanyisile,Miller,Cloud Computing,56.7
EDUV10599,Liam,Lebotsa,Computer Networks,85.5
EDUV10600,David,Mdlalose,Cloud Computing,80.2
EDUV10601,Michael,Smith,Software Engineering,68.7
EDUV10602,Mia,Moodley,Computer Networks,53.9
EDUV10603,Thando,Wilson,Computer Networks,78.4
EDUV10604,Lesego,Smith,Computer Networks,81.4
EDUV10605,Tshepo,Wilson,Database Systems,49.6
EDUV10606,John,Wilson,Computer Networks,86.2
EDUV10607,James,Williams,Software Engineering,77.4
EDUV10608,Sarah,Thomas,Python Programming,60.8
EDUV10609,Daniel,Wilson,Python Programming,67.3
EDUV10610,Ava,Brown,Software Engineering,68.1
EDUV10611,Olivia,Mdlalose,Python Programming,65.7
EDUV10612,Lindokuhle,Jones,Database Systems,68.4
EDUV10613,Mia,Wilson,Computer Networks,62.6
EDUV10614,Liam,Miller,Computer Networks,35.6
EDUV10615,Lucas,Ndlovu,Database Systems,60.5
EDUV10616,Ethan,Moore,Software Engineering,65.6
EDUV10617,Noah,Williams,Database Systems,58.1
EDUV10618,Daniel,Davis,Python Programming,52.0
EDUV10619,Thando,Williams,Software Engineering,75.2
EDUV10620,Emma,Taylor,Database Systems,53.0
EDUV10621,Sophia,Wilson,Computer Networks,73.8
EDUV10622,Rivoningo,Williams,Computer Networks,76.9
EDUV10623,Olivia,Davis,Cloud Computing,74.0
EDUV10624,Michael,Brown,Software Engineering,55.8
EDUV10625,Sophia,Mdlalose,Software Engineering,44.9
EDUV10626,Lusanda,Lebotsa,Cloud Computing,80.6
EDUV10627,Tshepo,Williams,Python Programming,45.4
EDUV10628,Emma,Anderson,Software Engineering,38.5
EDUV10629,Emma,Brown,Software Engineering,51.8
EDUV10630,Lusanda,Smith,Software Engineering,71.2
EDUV10631,Ethan,Smith,Computer Networks,58.8
EDUV10632,Kgosi,Miller,Python Programming,47.6
EDUV10633,Olivia,Thomas,Cloud Computing,60.6
EDUV10634,Olivia,Miller,Computer Networks,92.5
EDUV10635,Lesego,Thomas,Software Engineering,80.5
EDUV10636,James,Smith,Computer Networks,84.5
EDUV10637,Noah,Jones,Computer Networks,68.5
EDUV10638,Rivoningo,Johnson,Computer Networks,46.3
EDUV10639,Noah,Mdlalose,Python Programming,43.2
EDUV10640,Liam,Miller,Software Engineering,53.9
EDUV10641,Rivoningo,Brown,Python Programming,56.4
EDUV10642,Ethan,Wilson,Database Systems,67.1
EDUV10643,Olivia,Miller,Python Programming,38.0
EDUV10644,Lusanda,Thomas,Computer Networks,44.3
EDUV10645,Sarah,Jones,Python Programming,53.9
EDUV10646,Michael,Jones,Database Systems,52.5
EDUV10647,Liam,Lebotsa,Cloud Computing,46.8
EDUV10648,Rivoningo,Moodley,Software Engineering,71.4
EDUV10649,James,Miller,Software Engineering,70.1
EDUV10650,Lesego,Taylor,Python Programming,63.4
EDUV10651,Olivia,Wilson,Cloud Computing,67.6
EDUV10652,Lucas,Johnson,Software Engineering,69.1
EDUV10653,Olivia,Miller,Cloud Computing,84.7
EDUV10654,Noah,Taylor,Database Systems,53.5
EDUV10655,Emma,Moodley,Software Engineering,76.8
EDUV10656,David,Thomas,Cloud Computing,62.1
EDUV10657,Ava,Williams,Software Engineering,63.0
EDUV10658,Lesego,Moore,Computer Networks,67.3
EDUV10659,Ethan,Johnson,Cloud Computing,52.4
EDUV10660,Lesego,Anderson,Python Programming,55.3
EDUV10661,Daniel,Johnson,Python Programming,47.8
EDUV10662,Kgosi,Thomas,Python Programming,65.8
EDUV10663,Rivoningo,Thomas,Database Systems,65.2
EDUV10664,Olivia,Davis,Python Programming,62.1
EDUV10665,Mia,Davis,Database Systems,77.8
EDUV10666,Lucas,Johnson,Computer Networks,67.4
EDUV10667,Mia,Thomas,Cloud Computing,46.9
EDUV10668,Lusanda,Taylor,Software Engineering,68.5
EDUV10669,Ethan,Miller,Python Programming,49.2
EDUV10670,Daniel,Lebotsa,Database Systems,49.0
EDUV10671,Lusanda,Taylor,Database Systems,63.1
EDUV10672,Michael,Ndlovu,Database Systems,44.1
EDUV10673,Daniel,Mdlalose,Database Systems,56.1
EDUV10674,Khanyisile,Anderson,Database Systems,54.0
EDUV10675,Noah,Moore,Python Programming,72.9
EDUV10676,Sophia,Williams,Database Systems,79.6
EDUV10677,John,Brown,Cloud Computing,45.5
EDUV10678,Kgosi,Jones,Python Programming,67.6
EDUV10679,Sophia,Williams,Software Engineering,86.8
EDUV10680,Lucas,Moodley,Software Engineering,57.8
EDUV10681,Sophia,Wilson,Cloud Computing,48.3
EDUV10682,Khanyisile,Ndlovu,Software Engineering,45.9
EDUV10683,David,Lebotsa,Database Systems,48.7
EDUV10684,Rivoningo,Moore,Python Programming,86.3
EDUV10685,Daniel,Moore,Computer Networks,78.4
EDUV10686,Ava,Jones,Cloud Computing,37.2
EDUV10687,Lindokuhle,Jones,Python Programming,54.9
EDUV10688,Michael,Moodley,Software Engineering,90.0
EDUV10689,Khanyisile,Miller,Python Programming,66.9
EDUV10690,Daniel,Ndlovu,Cloud Computing,48.9
EDUV10691,Kgosi,Thomas,Python Programming,53.2
EDUV10692,Noah,Brown,Cloud Computing,57.6
EDUV10693,Sarah,Smith,Database Systems,78.9
EDUV10694,Lucas,Ndlovu,Cloud Computing,79.8
EDUV10695,Sophia,Moore,Software Engineering,62.7
EDUV10696,Liam,Moodley,Cloud Computing,49.2
EDUV10697,Daniel,Johnson,Cloud Computing,74.3
EDUV10698,Tshepo,Ndlovu,Database Systems,57.9
EDUV10699,Sarah,Anderson,Cloud Computing,81.3
EDUV10700,Noah,Smith,Computer Networks,53.5
EDUV10701,Ethan,Ndlovu,Software Engineering,50.1
EDUV10702,Khanyisile,Miller,Python Programming,50.0
EDUV10703,Tshepo,Thomas,Python Programming,64.5
EDUV10704,Lucas,Lebotsa,Database Systems,91.4
EDUV10705,David,Davis,Python Programming,59.1
EDUV10706,Rivoningo,Thomas,Python Programming,57.9
EDUV10707,Thando,Smith,Cloud Computing,43.0
EDUV10708,Daniel,Jones,Software Engineering,73.9
EDUV10709,Liam,Williams,Database Systems,77.6
EDUV10710,Sophia,Miller,Python Programming,51.0
EDUV10711,Liam,Moore,Software Engineering,83.9
EDUV10712,Daniel,Wilson,Python Programming,75.2
EDUV10713,Lindokuhle,Wilson,Python Programming,58.3
EDUV10714,Tshepo,Johnson,Database Systems,64.4
EDUV10715,Emma,Moore,Cloud Computing,72.4
EDUV10716,Kgosi,Moore,Computer Networks,81.1
EDUV10717,Ethan,Wilson,Python Programming,44.8
EDUV10718,Khanyisile,Anderson,Cloud Computing,67.9
EDUV10719,Ava,Miller,Software Engineering,55.1
EDUV10720,Ava,Brown,Cloud Computing,74.8
EDUV10721,Lusanda,Ndlovu,Computer Networks,45.3
EDUV10722,Mia,Anderson,Software Engineering,54.4
EDUV10723,Rivoningo,Miller,Software Engineering,47.1
EDUV10724,Thando,Smith,Database Systems,83.2
EDUV10725,Sophia,Davis,Cloud Computing,68.2
EDUV10726,Daniel,Anderson,Software Engineering,76.9
EDUV10727,Khanyisile,Moodley,Cloud Computing,86.1
EDUV10728,Liam,Miller,Python Programming,36.5
EDUV10729,John,Jones,Computer Networks,69.5
EDUV10730,Ava,Lebotsa,Computer Networks,68.5
EDUV10731,Khanyisile,Taylor,Cloud Computing,66.2
EDUV10732,Rivoningo,Lebotsa,Python Programming,51.4
EDUV10733,Rivoningo,Davis,Computer Networks,59.3
EDUV10734,Kgosi,Thomas,Database Systems,58.2
EDUV10735,Mia,Lebotsa,Python Programming,67.7
EDUV10736,Thando,Moodley,Cloud Computing,50.9
EDUV10737,John,Moodley,Database Systems,72.2
EDUV10738,Lindokuhle,Miller,Python Programming,45.6
EDUV10739,David,Thomas,Database Systems,55.5
EDUV10740,Ethan,Moore,Python Programming,58.3
EDUV10741,Lusanda,Lebotsa,Software Engineering,87.2
EDUV10742,Thando,Miller,Database Systems,38.4
EDUV10743,James,Wilson,Cloud Computing,51.8
EDUV10744,Kgosi,Brown,Software Engineering,71.0
EDUV10745,Mia,Taylor,Database Systems,70.4
EDUV10746,Emma,Johnson,Cloud Computing,61.8
EDUV10747,Khanyisile,Moodley,Python Programming,51.6
EDUV10748,Lesego,Thomas,Cloud Computing,53.0
EDUV10749,Lucas,Jones,Python Programming,80.2
EDUV10750,Rivoningo,Jones,Database Systems,90.7
EDUV10751,Lindokuhle,Johnson,Cloud Computing,54.8
EDUV10752,Lucas,Davis,Software Engineering,76.9
EDUV10753,Lucas,Ndlovu,Database Systems,63.9
EDUV10754,Noah,Wilson,Cloud Computing,88.5
EDUV10755,Liam,Mdlalose,Database Systems,70.1
EDUV10756,Thando,Taylor,Database Systems,77.2
EDUV10757,Noah,Davis,Python Programming,74.2
EDUV10758,Tshepo,Moodley,Cloud Computing,57.4
EDUV10759,Olivia,Jones,Cloud Computing,54.6
EDUV10760,Thando,Williams,Computer Networks,55.5
EDUV10761,John,Brown,Python Programming,46.9
EDUV10762,Rivoningo,Moodley,Computer Networks,45.1
EDUV10763,Lucas,Davis,Software Engineering,45.1
EDUV10764,Lesego,Moore,Database Systems,48.2
EDUV10765,Kgosi,Ndlovu,Computer Networks,64.5
EDUV10766,John,Smith,Cloud Computing,67.4
EDUV10767,Mia,Moore,Database Systems,86.2
EDUV10768,Michael,Moore,Software Engineering,45.3
EDUV10769,Emma,Moodley,Computer Networks,48.7
EDUV10770,Olivia,Anderson,Python Programming,68.1
EDUV10771,Lesego,Thomas,Computer Networks,71.4
EDUV10772,Khanyisile,Williams,Python Programming,40.4
EDUV10773,Khanyisile,Lebotsa,Database Systems,68.2
EDUV10774,Lusanda,Lebotsa,Database Systems,52.4
EDUV10775,Lindokuhle,Taylor,Database Systems,71.1
EDUV10776,Michael,Jones,Software Engineering,75.2
EDUV10777,Sophia,Brown,Software Engineering,62.3
EDUV10778,Sarah,Brown,Software Engineering,75.7
EDUV10779,James,Brown,Python Programming,67.2
EDUV10780,Emma,Ndlovu,Database Systems,84.6
EDUV10781,David,Jones,Cloud Computing,60.0
EDUV10782,Noah,Miller,Computer Networks,75.2
EDUV10783,Thando,Smith,Computer Networks,95.8
EDUV10784,Mia,Johnson,Software Engineering,53.0
EDUV10785,Ava,Smith,Database Systems,57.2
EDUV10786,Khanyisile,Ndlovu,Database Systems,48.6
EDUV10787,Sarah,Smith,Computer Networks,74.7
EDUV10788,Tshepo,Miller,Software Engineering,85.5
EDUV10789,David,Smith,Database Systems,67.2
EDUV10790,Lesego,Moodley,Python Programming,45.7
EDUV10791,Mia,Smith,Cloud Computing,51.2
EDUV10792,Lesego,Ndlovu,Python Programming,51.9
EDUV10793,Mia,Lebotsa,Cloud Computing,55.6
EDUV10794,John,Miller,Software Engineering,88.4
EDUV10795,Emma,Wilson,Computer Networks,43.8
EDUV10796,Michael,Davis,Python Programming,71.0
EDUV10797,Mia,Davis,Database Systems,91.7
EDUV10798,Lucas,Brown,Python Programming,64.5
EDUV10799,Ava,Anderson,Python Programming,64.9
EDUV10800,Kgosi,Jones,Software Engineering,65.3
EDUV10801,James,Moore,Database Systems,50.1
EDUV10802,Kgosi,Thomas,Cloud Computing,71.0
EDUV10803,Ethan,Davis,Computer Networks,41.1
EDUV10804,Kgosi,Jones,Cloud Computing,88.1
EDUV10805,Ethan,Moore,Software Engineering,55.6
EDUV10806,Liam,Wilson,Computer Networks,46.3
EDUV10807,Ava,Miller,Cloud Computing,64.7
EDUV10808,Khanyisile,Smith,Python Programming,65.8
EDUV10809,Kgosi,Johnson,Database Systems,51.1
EDUV10810,James,Williams,Software Engineering,55.2
EDUV10811,Lusanda,Jones,Software Engineering,63.7
EDUV10812,Rivoningo,Williams,Python Programming,76.7
EDUV10813,Khanyisile,Thomas,Software Engineering,59.3
EDUV10814,Michael,Davis,Cloud Computing,81.0
EDUV10815,John,Davis,Cloud Computing,48.8
EDUV10816,Rivoningo,Moore,Python Programming,65.0
EDUV10817,Olivia,Moodley,Database Systems,58.7
EDUV10818,Lindokuhle,Taylor,Computer Networks,56.7
EDUV10819,Sarah,Jones,Computer Networks,47.9
EDUV10820,Rivoningo,Lebotsa,Python Programming,61.6
EDUV10821,Ava,Mdlalose,Database Systems,74.8
EDUV10822,Liam,Brown,Python Programming,82.5
EDUV10823,Lusanda,Davis,Software Engineering,64.5
EDUV10824,James,Thomas,Cloud Computing,93.1
EDUV10825,Mia,Moore,Cloud Computing,50.9
EDUV10826,Rivoningo,Brown,Software Engineering,79.3
EDUV10827,Lesego,Moodley,Python Programming,84.0
EDUV10828,Sophia,Jones,Cloud Computing,51.9
EDUV10829,Sarah,Lebotsa,Database Systems,54.2
EDUV10830,John,Wilson,Software Engineering,76.5
EDUV10831,Kgosi,Smith,Computer Networks,61.4
EDUV10832,David,Anderson,Software Engineering,36.9
EDUV10833,Noah,Moore,Computer Networks,73.5
EDUV10834,Thando,Lebotsa,Software Engineering,78.2
EDUV10835,Michael,Taylor,Computer Networks,55.3
EDUV10836,Lucas,Johnson,Software Engineering,49.4
EDUV10837,Daniel,Brown,Cloud Computing,56.3
EDUV10838,Sarah,Moore,Computer Networks,60.5
EDUV10839,Mia,Moodley,Software Engineering,79.5
EDUV10840,Noah,Smith,Database Systems,51.2
EDUV10841,Liam,Brown,Python Programming,47.9
EDUV10842,Liam,Jones,Computer Networks,48.2
EDUV10843,Ethan,Thomas,Database Systems,65.5
EDUV10844,David,Brown,Computer Networks,75.7
EDUV10845,John,Johnson,Computer Networks,42.3
EDUV10846,John,Thomas,Database Systems,71.6
EDUV10847,Thando,Anderson,Computer Networks,73.5
EDUV10848,John,Moodley,Python Programming,67.2
EDUV10849,Thando,Taylor,Computer Networks,61.2
EDUV10850,Lusanda,Wilson,Computer Networks,53.5
EDUV10851,Tshepo,Williams,Computer Networks,77.9
EDUV10852,Kgosi,Taylor,Software Engineering,83.3
EDUV10853,Lusanda,Moodley,Python Programming,49.6
EDUV10854,Ethan,Smith,Database Systems,54.5
EDUV10855,John,Jones,Computer Networks,72.3
EDUV10856,Sophia,Williams,Cloud Computing,56.3
EDUV10857,Thando,Thomas,Computer Networks,74.4
EDUV10858,Sarah,Davis,Python Programming,63.7
EDUV10859,Lesego,Ndlovu,Cloud Computing,81.6
EDUV10860,Rivoningo,Jones,Computer Networks,48.4
EDUV10861,Lucas,Williams,Software Engineering,50.7
EDUV10862,Lucas,Williams,Cloud Computing,74.8
EDUV10863,John,Ndlovu,Computer Networks,50.2
EDUV10864,Kgosi,Davis,Database Systems,61.7
EDUV10865,Sarah,Moodley,Software Engineering,76.0
EDUV10866,Ethan,Mdlalose,Software Engineering,55.2
EDUV10867,Emma,Jones,Computer Networks,83.2
EDUV10868,Thando,Moore,Cloud Computing,67.5
EDUV10869,Liam,Brown,Software Engineering,56.6
EDUV10870,Khanyisile,Smith,Python Programming,33.5
EDUV10871,Thando,Davis,Database Systems,50.1
EDUV10872,Mia,Lebotsa,Database Systems,85.5
EDUV10873,Rivoningo,Jones,Database Systems,66.1
EDUV10874,Emma,Wilson,Python Programming,80.4
EDUV10875,Tshepo,Moodley,Software Engineering,54.9
EDUV10876,Liam,Smith,Database Systems,51.7
EDUV10877,Lusanda,Jones,Database Systems,73.0
EDUV10878,Noah,Thomas,Cloud Computing,45.9
EDUV10879,Tshepo,Lebotsa,Python Programming,82.7
EDUV10880,Lindokuhle,Moore,Python Programming,50.9
EDUV10881,Lusanda,Ndlovu,Cloud Computing,67.4
EDUV10882,Sophia,Brown,Python Programming,35.5
EDUV10883,Olivia,Moore,Cloud Computing,48.5
EDUV10884,Lusanda,Davis,Software Engineering,42.2
EDUV10885,Thando,Taylor,Python Programming,69.2
EDUV10886,Lucas,Thomas,Computer Networks,53.5
EDUV10887,Lucas,Miller,Cloud Computing,37.2
EDUV10888,Noah,Brown,Python Programming,48.3
EDUV10889,James,Anderson,Computer Networks,49.5
EDUV10890,Emma,Mdlalose,Software Engineering,58.9
EDUV10891,David,Moore,Software Engineering,71.4
EDUV10892,Michael,Smith,Cloud Computing,39.1
EDUV10893,Daniel,Taylor,Python Programming,56.4
EDUV10894,Ethan,Moodley,Python Programming,83.1
EDUV10895,Michael,Taylor,Python Programming,80.0
EDUV10896,Thando,Miller,Cloud Computing,41.5
EDUV10897,Kgosi,Wilson,Database Systems,80.0
EDUV10898,Liam,Williams,Computer Networks,79.4
EDUV10899,Tshepo,Williams,Software Engineering,66.6
EDUV10900,Kgosi,Thomas,Python Programming,58.6
EDUV10901,Khanyisile,Thomas,Cloud Computing,47.8
EDUV10902,Mia,Jones,Python Programming,52.5
EDUV10903,Michael,Ndlovu,Cloud Computing,58.7
EDUV10904,Lindokuhle,Jones,Computer Networks,45.3
EDUV10905,Sarah,Davis,Python Programming,85.3
EDUV10906,Rivoningo,Brown,Cloud Computing,48.4
EDUV10907,Lusanda,Williams,Software Engineering,39.9
EDUV10908,Sophia,Brown,Computer Networks,76.2
EDUV10909,Tshepo,Wilson,Computer Networks,49.2
EDUV10910,Sarah,Taylor,Cloud Computing,79.3
EDUV10911,Emma,Moodley,Database Systems,45.3
EDUV10912,Sarah,Lebotsa,Cloud Computing,46.4
EDUV10913,Michael,Anderson,Computer Networks,78.5
EDUV10914,Daniel,Johnson,Software Engineering,72.1
EDUV10915,Olivia,Mdlalose,Database Systems,66.6
EDUV10916,Olivia,Wilson,Python Programming,78.0
EDUV10917,Ethan,Davis,Cloud Computing,49.6
EDUV10918,Lusanda,Thomas,Python Programming,87.0
EDUV10919,Thando,Johnson,Python Programming,33.4
EDUV10920,Daniel,Mdlalose,Database Systems,71.0
EDUV10921,Rivoningo,Johnson,Database Systems,41.1
EDUV10922,Mia,Taylor,Computer Networks,62.6
EDUV10923,Mia,Moodley,Cloud Computing,76.0
EDUV10924,Ava,Taylor,Computer Networks,71.0
EDUV10925,Khanyisile,Jones,Python Programming,69.5
EDUV10926,Mia,Smith,Computer Networks,62.0
EDUV10927,John,Ndlovu,Cloud Computing,82.2
EDUV10928,Daniel,Moore,Computer Networks,65.0
EDUV10929,Emma,Ndlovu,Cloud Computing,54.3
EDUV10930,Tshepo,Miller,Database Systems,62.9
EDUV10931,Daniel,Williams,Software Engineering,70.5
EDUV10932,Khanyisile,Miller,Database Systems,67.5
EDUV10933,Lindokuhle,Miller,Python Programming,75.8
EDUV10934,Sarah,Wilson,Python Programming,77.6
EDUV10935,Kgosi,Davis,Software Engineering,88.0
EDUV10936,Olivia,Taylor,Database Systems,41.1
EDUV10937,John,Moodley,Computer Networks,66.7
EDUV10938,Michael,Moore,Software Engineering,57.3
EDUV10939,Sarah,Johnson,Computer Networks,60.4
EDUV10940,Sarah,Lebotsa,Python Programming,57.7
EDUV10941,Thando,Anderson,Python Programming,45.9
EDUV10942,Lindokuhle,Smith,Cloud Computing,71.4
EDUV10943,Emma,Anderson,Python Programming,53.3
EDUV10944,Emma,Johnson,Database Systems,50.7
EDUV10945,Lusanda,Thomas,Database Systems,85.2
EDUV10946,Sophia,Lebotsa,Python Programming,87.5
EDUV10947,Emma,Jones,Cloud Computing,51.3
EDUV10948,Lucas,Jones,Python Programming,47.5
EDUV10949,Olivia,Williams,Database Systems,84.2
EDUV10950,Ethan,Davis,Cloud Computing,59.0
EDUV10951,Kgosi,Williams,Computer Networks,81.8
EDUV10952,Olivia,Thomas,Database Systems,60.1
EDUV10953,Tshepo,Smith,Software Engineering,43.7
EDUV10954,Noah,Lebotsa,Python Programming,42.9
EDUV10955,Ava,Williams,Database Systems,70.5
EDUV10956,Olivia,Davis,Computer Networks,50.7
EDUV10957,Sarah,Wilson,Computer Networks,63.7
EDUV10958,Tshepo,Davis,Software Engineering,48.0
EDUV10959,James,Wilson,Computer Networks,44.6
EDUV10960,Thando,Jones,Database Systems,68.2
EDUV10961,Ava,Taylor,Database Systems,55.1
EDUV10962,Mia,Davis,Software Engineering,74.8
EDUV10963,Lusanda,Thomas,Computer Networks,65.3
EDUV10964,Lucas,Taylor,Software Engineering,77.6
EDUV10965,John,Anderson,Cloud Computing,67.7
EDUV10966,Lindokuhle,Davis,Computer Networks,56.0
EDUV10967,Ethan,Lebotsa,Cloud Computing,50.5
EDUV10968,Lucas,Jones,Database Systems,63.9
EDUV10969,Michael,Smith,Cloud Computing,58.2
EDUV10970,Daniel,Moore,Software Engineering,74.6
EDUV10971,Lesego,Moore,Cloud Computing,77.2
EDUV10972,Mia,Moore,Computer Networks,56.5
EDUV10973,Khanyisile,Brown,Software Engineering,71.3
EDUV10974,Emma,Mdlalose,Cloud Computing,60.2
EDUV10975,Lindokuhle,Brown,Cloud Computing,78.4
EDUV10976,Khanyisile,Williams,Computer Networks,68.5
EDUV10977,Noah,Mdlalose,Python Programming,60.4
EDUV10978,Lesego,Jones,Database Systems,55.1
EDUV10979,James,Williams,Database Systems,50.2
EDUV10980,Lesego,Ndlovu,Software Engineering,78.2
EDUV10981,David,Lebotsa,Database Systems,71.4
EDUV10982,David,Williams,Software Engineering,49.6
EDUV10983,Khanyisile,Taylor,Database Systems,46.3
EDUV10984,Daniel,Williams,Cloud Computing,52.4
EDUV10985,Michael,Wilson,Database Systems,69.7
EDUV10986,Mia,Williams,Python Programming,45.2
EDUV10987,Liam,Johnson,Database Systems,84.5
EDUV10988,Thando,Taylor,Database Systems,71.1
EDUV10989,Michael,Williams,Database Systems,79.4
EDUV10990,Liam,Mdlalose,Database Systems,80.1
EDUV10991,John,Moodley,Software Engineering,82.6
EDUV10992,Thando,Thomas,Database Systems,77.5
EDUV10993,Sophia,Brown,Cloud Computing,73.9
EDUV10994,Rivoningo,Thomas,Python Programming,57.7
EDUV10995,David,Brown,Python Programming,53.5
EDUV10996,Lesego,Miller,Database Systems,53.0
EDUV10997,Tshepo,Moore,Database Systems,41.9
EDUV10998,Lindokuhle,Moodley,Cloud Computing,52.0
EDUV10999,Noah,Lebotsa,Cloud Computing,52.1
